Core	B_Band	Mass	Rc_Index Type
42.6	43.9	8.7	3.82	BLRG
41.1	43.8	7.8	2.41	BLRG
40.4	44.4	8.9	1.16	BLRG
40.6	43.8	8.1	1.93	BLRG
39.4	44.2	8.6	0.35	BLRG
41.1	44.1	8.8	2.11	BLRG
41.1	44	8.3	2.27	BLRG
41.8	44.2	8.8	2.73	BLRG
40.8	44.3	9.5	1.64	BLRG
39	42.2	7.5	1.94	BLRG
41.2	43.3	8.7	3.01	BLRG
40.1	44.2	8.7	0.99	BLRG
41	44.3	8.8	1.79	BLRG
42.4	44.3	8.5	3.24	BLRG
41.8	44.6	9.1	2.32	BLRG
40	43.2	7.9	1.98	BLRG
40.5	43.9	8.9	1.78	BLRG
41.5	44.6	8.7	2.07	BLRG
43.4	44	8.9	4.58	BLRG
40.3	43.9	8.2	1.56	BLRG
42.4	44	8	3.57	BLRG
39.4	44.2	8.4	0.37	BLRG
38.8	44.3	8.3	-0.32	BLRG
41.5	43.6	8	3.01	BLRG
41.4	43.4	7.5	3.12	BLRG
39.3	44.1	8	0.37	BLRG
40.4	43.9	9.3	1.66	BLRG
40.8	44.5	8.4	1.44	BLRG
39.9	42.7	8.2	2.38	BLRG
41.1	44.3	9.2	1.97	BLRG
40.8	44.1	8.9	1.83	BLRG
41.1	44	8.8	2.21	BLRG
42.6	44.6	8.4	3.18	BLRG
40.5	43.8	8	1.87	BLRG
41.9	43.8	8.4	3.2	BLRG
42	44.6	8.4	2.54	BLRG
41.7	44.2	7.8	2.62	BLRG
42.5	45.6	9.1	2	RLQ
42.1	45.2	9.2	2.04	RLQ
42.7	44.8	9.1	3.04	RLQ
42.6	45.3	9.2	2.44	RLQ
42.1	45.4	8.9	1.86	RLQ
42.7	45.2	8.4	2.64	RLQ
41.5	45.1	8.8	1.53	RLQ
41.4	45.1	7.4	1.39	RLQ
43.3	45.9	9.6	2.55	RLQ
42.7	45.2	8.8	2.61	RLQ
41.9	45.1	8.8	1.93	RLQ
43.1	45.4	8.3	2.79	RLQ
40.9	44.9	8.7	1.18	RLQ
42.7	45.2	8.1	2.64	RLQ
41.2	45.5	9.3	0.82	RLQ
41.4	44.9	8.5	1.59	RLQ
42.3	45	9.2	2.42	RLQ
41.9	45.2	9.1	1.81	RLQ
42.9	45.4	8.8	2.64	RLQ
41.4	44.8	8.9	1.7	RLQ
41.9	45.3	8.8	1.77	RLQ
42.6	44.9	8.7	2.85	RLQ
42.9	45	8.7	3.06	RLQ
40.9	44.7	8.9	1.31	RLQ
41.1	45.3	9.1	0.89	RLQ
40.5	44.8	8.7	0.8	RLQ
41.3	45.2	8.9	1.19	RLQ
41.6	44.7	8.1	2.06	RLQ
42.9	45.7	8.9	2.31	RLQ
42.9	44.8	7.9	3.24	RLQ
41.6	44.9	9.1	1.79	RLQ
42.2	45.5	9.7	1.85	RLQ
42.1	44.9	9.2	2.31	RLQ
43.3	45.2	8.7	3.19	RLQ
42.2	45.4	9.4	1.93	RLQ
41.5	45	8.5	1.6	RLQ
41.3	44.8	8.8	1.68	RLQ
41.4	45.9	10.2	0.62	RLQ
42.6	44.7	8.7	2.98	RLQ
42.3	44.8	8	2.66	RLQ
42.9	45.1	8.5	2.97	RLQ
42.5	45.1	8.7	2.49	RLQ
42.2	45.3	9.5	2.06	RLQ
42.9	44.7	8.4	3.37	RLQ
42.5	45.3	8.8	2.29	RLQ
42.8	45.3	8.8	2.66	RLQ
