Radio	B_Band	Mass	R_Index	Type
43.2	43.9	8.7	4.45	BLRG
42.2	43.8	7.8	3.49	BLRG
42	44.4	8.9	2.78	BLRG
43.1	43.8	8.1	4.48	BLRG
39.2	44.2	8.6	0.1	BLRG
41.9	44.1	8.8	2.89	BLRG
42.5	44	8.3	3.55	BLRG
42.9	44.2	8.8	3.89	BLRG
43.3	44.3	9.5	4.09	BLRG
39	42.2	7.5	1.97	BLRG
42.3	43.3	8.7	4.17	BLRG
39.6	44.2	8.7	0.56	BLRG
42.3	44.3	8.8	3.18	BLRG
42.9	44.3	8.5	3.73	BLRG
42.5	44.6	9.1	3.06	BLRG
41.1	43.2	7.9	3.09	BLRG
42.4	43.9	8.9	3.62	BLRG
41.9	44.6	8.7	2.4	BLRG
43.4	44	8.9	4.56	BLRG
42.4	43.9	8.2	3.68	BLRG
43	44	8	4.12	BLRG
42.2	44.2	8.4	3.15	BLRG
42.2	44.3	8.3	3.01	BLRG
42.4	43.6	8	3.99	BLRG
41.7	43.4	7.5	3.42	BLRG
41.6	44.1	8	2.7	BLRG
42.4	43.9	9.3	3.66	BLRG
41.2	44.5	8.4	1.81	BLRG
40	42.7	8.2	2.43	BLRG
42.3	44.3	9.2	3.06	BLRG
42	44.1	8.9	2.95	BLRG
42.2	44	8.8	3.37	BLRG
42.7	44.6	8.4	3.19	BLRG
41.9	43.8	8	3.2	BLRG
42.3	43.8	8.4	3.59	BLRG
42.8	44.6	8.4	3.34	BLRG
42	44.2	7.8	2.87	BLRG
42.7	45.6	9.1	2.24	RLQ
42.8	45.2	9.2	2.73	RLQ
43	44.8	9.1	3.3	RLQ
43.3	45.3	9.2	3.12	RLQ
43.1	45.4	8.9	2.85	RLQ
42.6	45.2	8.4	2.59	RLQ
42.3	45.1	8.8	2.35	RLQ
41.5	45.1	7.4	1.52	RLQ
43.5	45.9	9.6	2.82	RLQ
43.3	45.2	8.8	3.22	RLQ
42.6	45.1	8.8	2.63	RLQ
43.1	45.4	8.3	2.85	RLQ
42.4	44.9	8.7	2.61	RLQ
42.7	45.2	8.1	2.68	RLQ
42.5	45.5	9.3	2.16	RLQ
42.4	44.9	8.5	2.65	RLQ
42.4	45	9.2	2.58	RLQ
43.1	45.2	9.1	3.03	RLQ
43.2	45.4	8.8	2.86	RLQ
42.7	44.8	8.9	3.04	RLQ
42.6	45.3	8.8	2.39	RLQ
42.8	44.9	8.7	3.07	RLQ
43.1	45	8.7	3.18	RLQ
42.2	44.7	8.9	2.66	RLQ
42.6	45.3	9.1	2.39	RLQ
42.2	44.8	8.7	2.47	RLQ
43.1	45.2	8.9	3.06	RLQ
43.1	44.7	8.1	3.61	RLQ
43.1	45.7	8.9	2.54	RLQ
43	44.8	7.9	3.4	RLQ
42.2	44.9	9.1	2.42	RLQ
43.3	45.5	9.7	2.93	RLQ
42.4	44.9	9.2	2.68	RLQ
43.4	45.2	8.7	3.36	RLQ
42.9	45.4	9.4	2.59	RLQ
42.2	45	8.5	2.33	RLQ
42.7	44.8	8.8	3.1	RLQ
43.5	45.9	10.2	2.71	RLQ
43	44.7	8.7	3.47	RLQ
42.6	44.8	8	2.87	RLQ
43.2	45.1	8.5	3.21	RLQ
42.6	45.1	8.7	2.61	RLQ
42.6	45.3	9.5	2.44	RLQ
43.1	44.7	8.4	3.46	RLQ
42.8	45.3	8.8	2.67	RLQ
43.1	45.3	8.8	2.99	RLQ
43.2	44.7	8.8	3.67	RLQ
42.9	44.8	8.3	3.25	RLQ
42.6	45	8.7	2.66	RLQ
42.4	45.1	9	2.44	RLQ
38.4	42.9	6.8	0.58	SG-LINERS
39.7	44.9	7.9	-0.04	SG-LINERS
39.2	42.2	7.3	2.07	SG-LINERS
39.5	42.2	7.2	2.46	SG-LINERS
