Sim(Core)	Lobe	B Band	LogM 	R_Index	LogRF
39.8	39.8	41.9	9.3	3.00	0.03
36.9	34.9	36.7	9.6	5.35	2.03
40.2	39.8	43.8	8.4	1.52	0.44
38.4	37.9	39.2	9.6	4.31	0.42
39.3	38.9	43.6	7.4	0.79	0.43
43.9	43.1	51.0	7.6	-2.00	0.84
41.2	40.9	43.5	9.9	2.86	0.24
41.8	41.4	46.7	8.2	0.21	0.46
43.0	42.6	49.9	7.4	-1.69	0.47
41.5	41.0	45.8	8.6	0.88	0.46
40.8	40.4	44.5	8.6	1.40	0.45
40.4	40.0	43.8	8.7	1.78	0.45
42.2	42.2	47.3	8.2	0.00	0.04
38.3	37.0	40.5	8.5	2.95	1.27
43.2	42.7	48.1	8.8	0.15	0.48
38.8	38.4	40.7	9.0	3.28	0.43
41.8	41.3	47.7	7.5	-0.74	0.46
42.8	42.3	48.6	8.1	-0.65	0.47
37.7	37.0	41.0	7.4	1.87	0.73
41.0	40.6	43.5	9.7	2.70	0.45
38.4	38.2	40.4	8.7	3.12	0.21
41.6	41.2	46.0	8.5	0.78	0.46
40.9	40.5	42.8	10.0	3.21	0.45
39.9	39.5	44.2	7.8	0.84	0.44
42.1	41.6	48.0	7.6	-0.80	0.46
40.9	40.5	44.4	8.9	1.68	0.45
41.1	40.7	44.5	9.1	1.79	0.45
39.4	38.9	42.2	8.5	2.28	0.43
37.8	37.4	40.0	8.3	2.97	0.42
40.1	39.8	44.3	7.9	0.95	0.28
40.1	39.7	41.2	10.2	4.02	0.44
41.6	41.2	45.4	9.0	1.39	0.46
38.3	37.8	38.3	10.1	5.05	0.42
39.5	39.1	44.4	7.1	0.29	0.44
38.3	37.9	42.8	6.8	0.70	0.42
41.2	40.7	45.5	8.3	0.77	0.45
36.8	36.5	37.4	9.0	4.59	0.31
39.5	39.1	42.5	8.5	2.14	0.44
39.6	39.2	41.7	9.2	3.01	0.44
42.5	42.0	50.4	6.3	-2.75	0.47
39.9	39.5	43.1	8.5	1.90	0.44
41.4	41.1	45.5	8.6	1.02	0.32
42.2	41.8	47.2	8.4	0.14	0.47
38.6	38.5	42.1	7.6	1.60	0.09
39.1	38.7	42.2	8.2	1.99	0.43
42.3	40.5	47.3	8.4	0.15	1.78
41.5	41.1	47.0	7.7	-0.30	0.46
45.6	44.9	53.9	7.6	-3.15	0.70
39.9	39.4	43.6	8.1	1.40	0.44
40.5	40.1	43.1	9.4	2.59	0.45
40.7	40.3	43.7	9.2	2.18	0.45
43.4	42.9	48.5	8.9	0.08	0.48
40.5	40.1	43.7	8.9	1.99	0.45
39.5	39.1	42.9	8.2	1.74	0.43
36.4	36.0	38.3	7.8	3.24	0.40
40.9	40.4	44.8	8.5	1.24	0.45
39.9	39.5	45.6	6.8	-0.48	0.44
36.8	36.4	37.0	9.2	4.93	0.40
41.0	40.0	44.4	8.9	1.69	1.00
34.6	34.3	32.1	10.3	7.72	0.38
40.9	40.4	44.5	8.7	1.53	0.45
38.9	38.5	42.4	7.8	1.62	0.43
43.6	43.1	47.3	9.9	1.36	0.48
38.5	38.1	41.0	8.4	2.66	0.42
36.7	36.2	37.4	8.8	4.44	0.51
40.9	40.4	45.6	7.9	0.40	0.45
41.5	41.0	45.9	8.4	0.68	0.46
43.5	43.0	50.7	7.3	-2.13	0.48
34.7	34.3	34.2	8.7	5.63	0.38
41.8	41.3	47.7	7.5	-0.71	0.46
40.2	39.7	43.5	8.5	1.75	0.44
42.0	41.6	47.3	8.1	-0.16	0.46
41.6	41.1	45.7	8.7	0.99	0.46
43.3	42.8	48.9	8.4	-0.54	0.48
39.4	38.9	41.8	8.8	2.68	0.43
40.0	39.6	44.5	7.7	0.71	0.44
41.5	41.1	45.2	9.0	1.44	0.46
40.4	39.9	45.7	7.1	-0.25	0.44
39.7	39.2	42.4	8.8	2.41	0.44
39.4	39.0	41.9	8.8	2.65	0.43
39.1	38.6	42.3	8.2	1.95	0.43
40.9	39.9	47.6	6.4	-1.58	0.99
42.4	42.0	46.5	9.2	1.11	0.47
38.5	38.0	40.4	8.7	3.14	0.42
41.0	40.6	46.3	7.5	-0.15	0.45
39.0	35.6	41.8	8.4	2.29	3.35
38.3	37.9	41.9	7.5	1.53	0.42
39.3	38.9	43.1	7.9	1.39	0.43
38.2	37.8	41.1	7.9	2.21	0.42
40.1	39.7	44.4	7.9	0.86	0.44
39.7	39.3	43.5	8.0	1.35	0.44
39.5	39.0	42.4	8.6	2.23	0.43
38.6	38.1	43.0	7.0	0.71	0.42
41.3	40.9	45.8	8.3	0.63	0.45
37.8	37.4	40.7	7.7	2.26	0.42
38.7	38.3	40.7	8.9	3.11	0.43
38.5	38.0	41.1	8.2	2.48	0.42
41.5	41.0	45.8	8.5	0.81	0.46
43.5	43.0	50.0	7.9	-1.39	0.48
38.4	37.9	41.5	7.8	2.00	0.42
41.4	41.0	45.2	8.9	1.33	0.46
43.0	42.6	49.1	8.0	-0.90	0.47
39.8	39.3	44.4	7.4	0.54	0.44
41.9	41.4	48.1	7.3	-1.09	0.46
41.2	40.7	45.7	8.2	0.59	0.45
39.3	38.9	42.5	8.3	1.93	0.43
39.7	39.3	42.1	9.0	2.72	0.44
40.3	39.9	42.9	9.2	2.56	0.44
37.7	37.3	41.6	6.9	1.21	0.41
36.5	36.1	39.4	7.1	2.20	0.40
40.2	39.7	44.5	7.9	0.83	0.44
40.1	39.7	42.7	9.1	2.56	0.44
43.8	43.3	50.5	7.8	-1.63	0.48
39.8	39.4	43.7	8.0	1.28	0.44
38.6	38.2	41.9	7.9	1.88	0.43
40.9	40.5	44.7	8.6	1.35	0.45
41.6	41.2	45.1	9.2	1.70	0.46
41.8	41.4	46.9	8.1	0.09	0.46
39.4	38.4	41.7	8.9	2.74	0.93
22.3	22.0	14.2	8.2	13.20	0.25
41.1	40.7	45.8	8.0	0.45	0.45
43.2	42.7	49.2	8.1	-0.89	0.48
39.7	39.3	43.2	8.3	1.70	0.44
38.1	37.7	40.4	8.4	2.87	0.42
41.9	41.4	46.8	8.3	0.22	0.46
43.7	43.3	50.0	8.1	-1.17	0.48
44.4	44.0	51.4	8.0	-1.86	0.49
42.5	36.7	46.8	9.0	0.84	5.78
41.5	41.1	47.8	7.1	-1.11	0.46
39.9	39.3	43.6	8.2	1.49	0.65
41.3	40.8	46.3	7.9	0.09	0.45
41.3	40.8	46.1	8.0	0.33	0.45
39.5	39.1	43.7	7.6	0.98	0.44
41.6	41.2	45.6	8.8	1.15	0.46
39.1	37.8	41.4	8.8	2.79	1.26
40.9	40.4	42.7	10.1	3.36	0.45
36.5	36.1	37.6	8.4	3.99	0.40
41.4	41.0	46.8	7.7	-0.27	0.46
41.3	40.8	46.6	7.7	-0.15	0.45
41.1	40.6	46.5	7.5	-0.28	0.45
40.6	40.2	44.2	8.6	1.54	0.45
40.5	40.1	44.5	8.3	1.13	0.45
40.5	40.0	45.5	7.5	0.13	0.45
39.2	38.8	44.6	6.5	-0.32	0.43
38.5	38.1	40.6	8.7	3.00	0.42
38.1	37.7	41.4	7.6	1.85	0.42
38.3	37.9	42.3	7.2	1.20	0.42
42.2	41.8	47.7	8.1	-0.28	0.47
41.4	40.9	46.5	7.8	-0.02	0.46
41.4	41.0	45.5	8.7	1.10	0.46
