Sim(Core)	Lobe	B Band	LogM 	R_Index	LogRF
49.2	48.5	56.5	9.3	0.33	0.70
40.2	37.9	45.4	9.6	2.36	2.26
40.8	40.3	48.5	8.4	-0.06	0.45
47.4	46.9	52.8	9.6	2.27	0.52
35.4	35.0	42.1	7.4	0.97	0.39
42.6	41.9	50.4	7.6	-0.24	0.74
37.3	36.9	44.0	9.9	0.93	0.41
46.5	46.0	53.9	8.2	0.20	0.51
42.0	41.5	49.1	7.4	0.45	0.46
41.4	40.9	47.1	8.6	1.89	0.46
32.0	31.7	36.6	8.6	3.02	0.35
35.1	34.8	43.2	8.7	-0.45	0.39
35.1	34.8	40.4	8.2	2.35	0.39
35.7	34.6	41.5	8.5	1.86	1.09
38.3	37.9	44.0	8.8	1.97	0.42
39.4	39.0	45.3	9.0	1.66	0.43
37.5	37.1	46.8	7.5	-1.65	0.41
41.8	41.4	49.0	8.1	0.42	0.46
46.1	44.8	54.2	7.4	-0.43	1.33
43.9	43.5	50.8	9.7	0.78	0.48
45.2	44.5	50.2	8.7	2.64	0.69
34.2	33.8	40.5	8.5	1.26	0.38
40.0	39.5	44.5	10.0	3.15	0.44
31.5	31.1	36.5	7.8	2.58	0.35
47.4	46.9	52.7	7.6	2.37	0.52
49.0	48.4	56.1	8.9	0.50	0.54
30.9	30.5	36.7	9.1	1.82	0.34
42.7	42.2	50.7	8.5	-0.36	0.47
42.5	42.0	44.8	8.3	5.24	0.47
53.8	52.6	60.6	7.9	0.78	1.25
37.9	37.4	45.0	10.2	0.44	0.42
39.8	39.3	47.4	9.0	-0.04	0.44
39.4	39.0	45.3	10.1	1.74	0.43
41.2	40.7	46.3	7.1	2.52	0.45
35.1	34.7	40.2	6.8	2.51	0.39
40.2	39.7	47.1	8.3	0.69	0.44
30.9	30.6	35.7	9.0	2.81	0.34
40.7	40.3	47.4	8.5	0.87	0.45
43.9	43.4	51.1	9.2	0.35	0.48
34.8	34.5	40.2	6.3	2.27	0.38
32.9	32.5	34.7	8.5	5.82	0.36
38.2	38.1	44.0	8.6	1.78	0.09
