Sim(Core)	Lobe	B Band	LogM 	R_Index	LogRF
47.2	46.7	55.9	9.3	-1.09	0.56
45.1	42.5	54.0	9.6	-1.28	2.61
41.0	40.5	50.1	8.4	-1.44	0.45
42.9	42.4	51.7	9.6	-1.19	0.47
40.5	40.1	49.3	7.4	-1.17	0.45
44.3	43.5	53.3	7.6	-1.35	0.87
43.2	42.8	51.9	9.9	-1.11	0.38
41.7	41.3	50.8	8.2	-1.43	0.46
33.9	33.5	42.7	7.4	-1.23	0.37
36.3	35.9	45.0	8.6	-1.10	0.40
41.0	40.6	49.9	8.6	-1.28	0.45
45.3	44.8	54.1	8.7	-1.20	0.50
39.7	39.3	48.9	8.2	-1.59	0.44
37.9	36.7	47.0	8.5	-1.45	1.25
43.4	42.9	52.2	8.8	-1.17	0.48
46.0	45.5	54.8	9.0	-1.12	0.51
43.9	43.5	52.5	7.5	-0.98	0.48
40.3	39.8	48.9	8.1	-1.06	0.44
48.2	46.7	57.3	7.4	-1.54	1.47
42.5	42.0	51.0	9.7	-0.97	0.47
44.7	44.1	53.8	8.7	-1.44	0.66
40.9	40.4	49.8	8.5	-1.28	0.45
44.9	44.4	53.5	10.0	-0.98	0.49
45.6	45.1	54.6	7.8	-1.39	0.50
42.6	42.1	51.3	7.6	-1.09	0.47
50.0	49.5	58.4	8.9	-0.81	0.55
40.7	40.3	49.7	9.1	-1.33	0.45
38.6	38.2	47.5	8.5	-1.24	0.43
35.2	34.8	43.9	8.3	-1.14	0.39
41.1	40.7	50.1	7.9	-1.38	0.35
43.3	42.8	51.7	10.2	-0.86	0.48
46.0	45.5	55.1	9.0	-1.49	0.51
50.0	49.6	59.0	10.1	-1.33	0.44
36.4	36.0	45.4	7.1	-1.41	0.40
39.4	38.9	48.2	6.8	-1.18	0.43
42.1	41.6	50.8	8.3	-1.14	0.46
48.5	47.4	57.1	9.0	-0.97	1.14
40.7	40.3	49.6	8.5	-1.30	0.45
41.0	40.5	49.7	9.2	-1.13	0.45
34.4	34.0	43.2	6.3	-1.15	0.38
42.4	42.3	51.0	8.5	-0.95	0.14
43.6	43.1	52.1	8.6	-0.93	0.47
45.8	45.3	54.6	8.4	-1.17	0.50
42.1	41.7	50.9	7.6	-1.17	0.34
27.1	26.8	30.8	8.2	3.92	0.30
33.5	32.4	40.6	8.4	0.51	1.16
29.2	28.9	30.4	7.7	6.39	0.32
38.2	38.0	43.6	7.6	2.18	0.18
40.1	39.6	45.3	8.1	2.41	0.44
25.6	25.4	28.7	9.4	4.52	0.28
39.2	38.8	41.9	9.2	4.96	0.43
38.8	38.4	45.2	8.9	1.15	0.43
41.6	41.1	46.0	8.9	3.13	0.46
30.9	30.6	33.2	8.2	5.33	0.34
36.2	35.8	43.4	7.8	0.38	0.40
30.3	29.9	31.7	8.5	6.16	0.33
27.9	27.5	28.0	6.8	7.44	0.31
35.6	35.2	39.2	9.2	4.05	0.39
35.9	35.3	41.8	8.9	1.78	0.64
42.7	42.5	46.4	10.3	3.87	0.20
36.3	35.9	42.0	8.7	1.93	0.40
40.5	40.0	43.9	7.8	4.25	0.45
43.0	42.5	52.0	9.9	-1.42	0.47
38.2	37.8	42.3	8.4	3.45	0.42
35.7	35.2	40.0	8.8	3.26	0.44
36.4	36.0	40.4	7.9	3.68	0.40
30.5	30.2	33.1	8.4	5.03	0.34
