Core	Lobe	B_Band	Mass	R	RF	Type
39.4	0.0	44.2	8.6	0.35	39.2000	BLRG
39	0.0	42.2	7.5	1.94	39.0000	BLRG
40.1	0.0	44.2	8.7	0.99	39.6000	BLRG
43.4	0.0	44	8.9	4.58	43.4000	BLRG
42.7	0.0	45.2	8.4	2.64	42.6000	RLQ
43.1	0.0	45.4	8.3	2.79	43.1000	RLQ
42.7	0.0	45.2	8.1	2.64	42.7000	RLQ
43	0.0	44.8	8.3	3.35	42.9000	RLQ
38.4	0.0	42.9	6.8	0.6	38.4000	SG-LINERS
39.7	0.0	44.9	7.9	-0.05	39.7000	SG-LINERS
36.6	0.0	38.9	7.6	2.81	36.4000	SG-LINERS
38	0.0	40.8	8.7	2.3	38.0000	SG-LINERS
37	0.0	39.8	7.9	2.33	36.7000	SG-LINERS
39.1	0.0	45	8.9	-0.74	39.1000	PGQs
40.8	0.0	45.7	9.2	0.27	40.8000	PGQs
39.9	0.0	46	9	-1	39.1000	PGQs
39	0.0	45.2	7.9	-1.07	39.0000	PGQs
40.2	0.0	44.6	8.5	0.77	40.1000	PGQs
38.9	0.0	45	8.3	-1	38.9000	PGQs
36.4	36.6	41	6.5	0.57	0.2205	SG-LINERS
36.9	36.7	40.3	7.8	1.73	0.4329	SG-LINERS
37.2	37.0	42.7	6.9	-0.4	0.4329	SG-LINERS
35.6	37.1	40	6.6	0.7	0.0140	SG-LINERS
36.5	37.3	41.6	6.1	0.08	0.0584	SG-LINERS
38.1	37.5	44.9	7.4	-1.64	0.6868	PGQs
36.2	37.6	39.7	7.7	1.64	0.0176	SG-LINERS
38.2	37.6	43.6	7.4	-0.22	0.6868	PGQs
36.5	37.7	40.3	6.1	1.31	0.0283	SG-LINERS
38.3	37.7	42.3	6.6	1.11	0.6868	SG-LINERS
37.5	37.8	40.7	7.9	1.96	0.1651	SG-LINERS
37	37.8	42.6	7.5	-0.46	0.0584	SG-LINERS
37.2	37.9	42.5	7.4	-0.16	0.0749	SG-LINERS
36.9	38.0	40.8	6.8	1.26	0.0359	SG-LINERS
36.8	38.0	41.4	7.5	0.52	0.0283	SG-LINERS
36.3	38.0	42	7.6	-0.56	0.0088	SG-LINERS
35.7	38.0	38.8	7.6	2.07	0.0022	SG-LINERS
38.3	38.1	44.6	8.6	-1.13	0.4329	PGQs
38.1	38.1	43.2	7	-0.01	0.3021	SG-LINERS
38.1	38.1	43.8	6.3	-0.55	0.3021	PGQs
38.7	38.1	44.8	8.4	-0.94	0.6868	PGQs
38.7	38.1	44.8	7.6	-0.98	0.6868	PGQs
38.8	38.2	44.9	7.5	-0.97	0.6868	PGQs
37.9	38.2	44.4	7.2	-1.37	0.1651	PGQs
38.9	38.3	44.7	7.9	-0.63	0.6868	PGQs
37.3	38.4	42.1	7.6	0.33	0.0359	SG-LINERS
38.6	38.4	44.7	7.8	-0.96	0.4329	PGQs
36.8	38.5	43.3	7.2	-1.38	0.0088	SG-LINERS
38.5	38.5	43.2	7.6	0.45	0.3021	SG-LINERS
39.1	38.5	45.4	8.2	-1.12	0.6868	PGQs
38.8	38.6	41.3	8	2.59	0.4329	SG-LINERS
38.8	38.6	43.3	6.7	0.67	0.4329	SG-LINERS
38.8	38.6	43.8	7	0.11	0.4329	PGQs
39.2	38.6	44.8	7.9	-0.45	0.6868	PGQs
37.9	38.6	42.6	8.1	0.48	0.0749	SG-LINERS
38.9	38.7	44.7	7.3	-0.67	0.4329	PGQs
