offset	       	VLA_6cm           I_Band	   Ratio
4.325720858	3.420120848	1.234264124	0.719331287
5.144885418	1.785329835	1.245759356	-0.721246399
4.381295623	2.365487985	1.221153322	-0.537602002
4.208441356	2.346352974	1.247727833	-0.13667714
3.738146089	5.320146286	1.216957207	2.352182518
4.651278014	2.10720997	1.243781916	-0.443697499
4.045322979	3.414304688	1.188365926	0.029383778
4.14332713	2.612783857	1.215901813	-0.366531544
4.214048679	3.729245807	1.234010818	1.195346058
5.110252917	1.225309282	1.246990699	-1.301029996
4.191730393	4.551571974	1.226084116	1.913972712
4.758381942	2.447158031	1.22762965	-0.356547324
4.861773297	2.322219295	1.208441356	-0.769551079
4.748498127	1.826074803	1.203848464	-1.301029996
4.525563058	1.662757832	1.221153322	-1.22184875
4.99655545	1.545307116	1.232742063	-1.15490196
4.085647288	3.680335513	1.222456337	0.795880017
5.9240207	2.423245874	1.226342087	1.641176547
4.467312063	1.934498451	1.249198357	-0.522878745
3.567144045	3.951483231	1.230448921	2.172602931
4.370142847	2.103803721	1.206286044	-1
4.478710756	1.763427994	1.218272854	-1.15490196
4.059563418	3.712060142	1.238297068	1.077004327
4.693902741	1.851258349	1.247482261	-0.638272164
4.497067936	2.778874472	1.231214648	0.029383778
3.789510204	1.977723605	1.216693599	-1
4.854488225	1.973127854	1.234264124	-0.721246399
4.369401414	3.065206128	1.225050696	0.220108088
4.549738731	2.190331698	1.245265839	-0.327902142
5.028977705	1.755874856	1.242044239	-0.823908741
4.718916686	1.973127854	1.231214648	-0.769551079
4.544068044	3.392872745	1.214048679	0.382017043
4.698013504	2.041392685	1.238547888	-0.585026652
4.239049093	2.414973348	1.214048679	-0.602059991
4.300595484	2.190331698	1.202760687	-1
5.095866453	1.257678575	1.245759356	-1.22184875
5.096562438	1.521138084	1.242789809	-1.045757491
4.089905111	4.51054501	1.241795431	2.717836867
4.902492421	4.123851641	1.225567713	1.526468512
4.576801896	2.367355921	1.210586025	-0.698970004
4.783975003	2.62324929	1.226342087	-0.200659451
4.764922985	2.056904851	1.223755454	-0.795880017
4.288696261	1.999130541	1.225309282	-0.853871964
3.892762235	2.69019608	1.228656958	-0.096910013
5.037426498	1.33243846	1.225050696	-1.522878745
4.515343893	2.562292864	1.242292905	-0.008773924
4.997954004	3.178401342	1.232487866	0.44870632
5.221414238	1.475671188	1.225825991	-1.397940009
4.96890303	1.46686762	1.241546481	-1.096910013
4.917977883	1.294466226	1.249687428	-1.15490196
4.265053789	2.064457989	1.20871002	-1.045757491
4.410270964	2.252853031	1.245018871	-0.27572413
4.033021445	2.290034611	1.224274014	-0.568636236
4.152899596	2.075546961	1.224791956	-0.769551079
4.555940438	2.709269961	1.247482261	0.220108088
4.813380807	1.836956737	1.213252052	-1.15490196
4.494015375	2.903089987	1.232233521	0.170261715
4.117271296	3.91019737	1.24674471	1.408239965
4.478999132	2.127104798	1.241546481	-0.455931956
4.089198367	1.469822016	1.226599905	-1.397940009
4.697316542	1.416640507	1.19368103	-2
4.82949675	1.971275849	1.235275877	-0.721246399
4.29841638	2.699837726	1.230959556	-0.050609993
4.262213705	4.230704314	1.24674471	1.730782276
4.50609896	2.187520721	1.236789099	-0.468521083
4.761401557	2.152288344	1.237543738	-0.494850022
4.676327734	2.950364854	1.224014811	0.093421685
4.562292864	5.088136089	1.20709554	2.13001195
4.525951341	2.086359831	1.242541428	-0.48148606
5.217220656	1.958085849	1.231214648	-0.795880017
4.555336328	2.711807229	1.238046103	0.071882007
4.33725954	2.778874472	1.239799818	0.167317335
4.583991799	1.727541257	1.242044239	-0.853871964
4.426836454	2.46686762	1.237543738	-0.180456064
4.49762065	2.781036939	1.225309282	-0.060480747
4.450403086	2.193124598	1.236285277	-0.468521083
