
Rmag	          Bmag	  (B-R)	Speak	Sint
1.235275877	1.23299611	-0.09	66.8	218.76
1.225309282	1.246252312	0.83	15.8	15.78
1.22685757	1.235275877	0.33	266.98	300.35
1.198657087	1.198657087	0	71.9	93.1
1.164947373	1.175511813	0.36	10.43	10.78
1.238297068	1.243286146	0.2	1506.51	1533.45
1.234770295	1.241546481	0.27	2.18	2.25
1.249442961	1.273695588	1.02	302.28	329.81
1.234264124	1.241546481	0.29	7.28	7.83
1.240299582	1.250175948	0.4	4.43	4.44
1.230704314	1.24674471	0.64	145.26	147.74
1.24674471	1.272073788	1.05	7.89	7.9
1.24674471	1.254548077	0.33	22.76	23.58
1.235275877	1.249442961	0.57	1.64	0.97
1.230704314	1.25163822	0.85	37.99	38.85
1.249442961	1.294906911	1.96	97.17	102.36
1.243038049	1.249442961	0.26	1.11	0.88
1.179838928	1.183554534	0.14	16.96	16.79
1.236789099	1.250663919	0.56	6.83	6.47
1.250420002	1.259354927	0.37	1.17	1.26
1.227115083	1.238046103	0.43	1.48	1.17
1.240798771	1.248953615	0.32	1.81	2.15
1.216693599	1.249687428	1.3	1.66	1.2
1.237794993	1.258397804	0.85	1.24	1.42
1.155639634	1.182414652	0.9	3.5	3.63
1.248953615	1.251151343	0.09	4.72	4.9
1.246005904	1.260548373	0.59	1.42	1.3
1.227115083	1.235023159	0.31	5.7	5.73
1.239549721	1.240299582	0.02	1.05	0.95
1.215901813	1.217483944	0.06	2051.49	2071.27
1.250420002	1.275541688	1.06	24.11	25.18
1.238547888	1.244524512	0.24	1.71	1.02
1.196452542	1.194236749	-0.08	1.02	0.81
1.246252312	1.249931757	0.15	51.66	61.83
1.24723655	1.247973266	0.04	93.72	94.9
1.236033147	1.243038049	0.28	1113.79	1244.87
1.209246849	1.234264124	0.96	32.83	33.62
1.183554534	1.184691431	0.04	614.67	632.74
1.245265839	1.246498581	0.06	98.52	126.82
1.237543738	1.249931757	0.51	1.62	1.31
1.236285277	1.249931757	0.54	3.07	2.68
1.232233521	1.261738547	1.2	2.06	1.48
1.234264124	1.258397804	0.98	15.29	15.2
1.19368103	1.206015877	0.45	1.31	0.82
1.230959556	1.235023159	0.15	2.06	2.22
1.184407485	1.191730393	0.27	1	1.16
1.202215776	1.225825991	0.89	1.13	1.27
1.23325001	1.244029589	0.43	44.75	46.47
1.1430148	1.142076461	-0.03	10.8	11.56
1.233757363	1.252124553	0.74	13.72	13.91
1.235023159	1.248953615	0.56	161.38	182.2
1.225825991	1.252853031	1.08	2.88	2.68
1.240299582	1.257438567	0.7	3.48	3.68
1.243038049	1.256717746	0.56	1.95	1.49
1.250420002	1.273464273	0.97	589.58	608.29
1.234770295	1.245018871	0.4	1.17	1.67
1.231979027	1.245265839	0.53	21.48	21.87
1.216693599	1.237543738	0.81	2.21	2.45
1.215901813	1.22685757	0.42	12.84	14.35
1.241297387	1.255272505	0.57	1.62	1.82
1.232487866	1.249442961	0.69	1.76	1.6
1.246990699	1.268343914	0.89	18.32	18.41
1.248708736	1.258876629	0.42	126.85	136.64
1.244029589	1.260309946	0.67	5.15	4.65
1.243534102	1.25358029	0.41	1.64	2.63
1.203304916	1.214843848	0.44	3.62	3.15
1.214843848	1.229425848	0.56	5.02	4.45
